proportion_imaged,n_studies,yield_model,yield_unprioritised,ppv
0.8549,39221,0.95997,0.85490,0.53012
0.8569,39312,0.96076,0.85688,0.52933
0.8589,39403,0.96154,0.85886,0.52854
0.8608,39494,0.96269,0.86085,0.52795
0.8628,39585,0.96357,0.86283,0.52722
0.8648,39676,0.96417,0.86482,0.52634
0.8668,39767,0.96500,0.86680,0.52559
0.8688,39858,0.96556,0.86878,0.52469
0.8708,39949,0.96625,0.87077,0.52387
0.8727,40040,0.96713,0.87275,0.52315
0.8747,40131,0.96819,0.87473,0.52254
0.8767,40222,0.96870,0.87672,0.52163
0.8787,40313,0.96948,0.87870,0.52087
0.8807,40404,0.97017,0.88068,0.52007
0.8827,40495,0.97114,0.88267,0.51942
0.8847,40586,0.97170,0.88465,0.51855
0.8866,40677,0.97239,0.88663,0.51776
0.8886,40768,0.97294,0.88862,0.51690
0.8906,40859,0.97364,0.89060,0.51612
0.8926,40950,0.97401,0.89258,0.51516
0.8946,41041,0.97465,0.89457,0.51436
0.8966,41132,0.97548,0.89655,0.51366
0.8985,41223,0.97631,0.89854,0.51297
0.9005,41314,0.97701,0.90052,0.51220
0.9025,41405,0.97761,0.90250,0.51139
0.9045,41496,0.97825,0.90449,0.51060
0.9065,41587,0.97895,0.90647,0.50985
0.9085,41678,0.97959,0.90845,0.50907
0.9104,41769,0.98029,0.91044,0.50832
0.9124,41860,0.98079,0.91242,0.50748
0.9144,41951,0.98149,0.91440,0.50673
0.9164,42042,0.98190,0.91639,0.50585
0.9184,42133,0.98259,0.91837,0.50511
0.9204,42224,0.98310,0.92035,0.50429
0.9223,42315,0.98361,0.92234,0.50346
0.9243,42406,0.98426,0.92432,0.50271
0.9263,42497,0.98467,0.92630,0.50185
0.9283,42588,0.98523,0.92829,0.50106
0.9303,42679,0.98569,0.93027,0.50022
0.9323,42770,0.98629,0.93226,0.49946
0.9342,42861,0.98684,0.93424,0.49868
0.9362,42952,0.98753,0.93622,0.49797
0.9382,43043,0.98813,0.93821,0.49722
0.9402,43134,0.98855,0.94019,0.49638
0.9422,43225,0.98892,0.94217,0.49552
0.9442,43316,0.98910,0.94416,0.49457
0.9461,43407,0.98943,0.94614,0.49370
0.9481,43498,0.98989,0.94812,0.49290
0.9501,43589,0.99040,0.95011,0.49212
0.9521,43680,0.99104,0.95209,0.49141
0.9541,43771,0.99137,0.95407,0.49055
0.9561,43862,0.99201,0.95606,0.48985
0.9580,43953,0.99220,0.95804,0.48893
0.9600,44044,0.99261,0.96002,0.48813
0.9620,44135,0.99331,0.96201,0.48746
0.9640,44226,0.99358,0.96399,0.48659
0.9660,44317,0.99409,0.96597,0.48584
0.9680,44408,0.99469,0.96796,0.48514
0.9699,44499,0.99529,0.96994,0.48444
0.9719,44590,0.99603,0.97193,0.48381
0.9739,44681,0.99649,0.97391,0.48305
0.9759,44772,0.99668,0.97589,0.48215
0.9779,44863,0.99691,0.97788,0.48129
0.9799,44954,0.99732,0.97986,0.48051
0.9818,45045,0.99765,0.98184,0.47970
0.9838,45136,0.99788,0.98383,0.47884
0.9858,45227,0.99815,0.98581,0.47801
0.9878,45318,0.99834,0.98779,0.47714
0.9898,45409,0.99871,0.98978,0.47636
0.9918,45500,0.99894,0.99176,0.47552
0.9937,45591,0.99931,0.99374,0.47474
0.9957,45682,0.99949,0.99573,0.47388
0.9977,45773,0.99982,0.99771,0.47310
0.9997,45864,0.99995,0.99969,0.47222
